sample_a	sample_b	p_value	program_name
sample_D1	sample_D2	7.047794601900783e-20	38
sample_D1	sample_D3	1.0488045348240581e-263	38
sample_D2	sample_D3	9.053650990466995e-129	38
D0	sample_D1	2.5541458473839263e-24	41
D0	sample_D2	1.146907728649401e-176	41
D0	sample_D3	5.040353877127088e-277	41
sample_D1	sample_D2	1.4134966560833413e-55	41
sample_D1	sample_D3	1.0363704682572762e-78	41
sample_D2	sample_D3	0.5276256672708604	41
D0	sample_D1	6.746069168431217e-290	42
D0	sample_D2	0.0	42
D0	sample_D3	0.0	42
sample_D1	sample_D2	2.446469993122556e-07	42
sample_D1	sample_D3	1.562612546539026e-08	42
sample_D2	sample_D3	3.245358703441441e-31	42
D0	sample_D1	7.122994794587598e-10	44
D0	sample_D2	4.892379421077705e-80	44
D0	sample_D3	1.947792029783536e-15	44
sample_D1	sample_D2	2.174013242134166e-28	44
sample_D1	sample_D3	0.7577787056842745	44
sample_D2	sample_D3	1.1710353226935449e-35	44
D0	sample_D1	0.29338971817519577	43
D0	sample_D2	2.538277690622058e-18	43
D0	sample_D3	0.0018217007627837794	43
sample_D1	sample_D2	3.1406913714451223e-11	43
sample_D1	sample_D3	0.00033305465894069595	43
sample_D2	sample_D3	2.011679344252221e-29	43
D0	sample_D1	5.010218690533748e-68	46
D0	sample_D2	2.23566904922999e-112	46
D0	sample_D3	1.4477190257233936e-138	46
sample_D1	sample_D2	1.0394639937421998e-05	46
sample_D1	sample_D3	0.0028637970750159682	46
sample_D2	sample_D3	0.0345323733246304	46
D0	sample_D1	0.0	49
D0	sample_D2	0.0	49
D0	sample_D3	0.0	49
sample_D1	sample_D2	4.804492789860433e-193	49
sample_D1	sample_D3	7.978200088264665e-301	49
sample_D2	sample_D3	0.004879248334501633	49
D0	sample_D1	0.0	40
D0	sample_D2	0.0	40
D0	sample_D3	0.0	40
sample_D1	sample_D2	0.0	40
sample_D1	sample_D3	1.973363925472322e-15	40
sample_D2	sample_D3	0.0	40
D0	sample_D1	0.0002372093567649212	47
D0	sample_D2	3.192264678872569e-28	47
D0	sample_D3	5.690729462603179e-234	47
sample_D1	sample_D2	5.728946089120857e-37	47
sample_D1	sample_D3	3.743643012744318e-201	47
sample_D2	sample_D3	1.016533716810472e-54	47
D0	sample_D1	5.897517263766607e-18	48
D0	sample_D2	6.553499493226536e-06	48
D0	sample_D3	9.712456920174765e-264	48
sample_D1	sample_D2	0.0003598997179074862	48
sample_D1	sample_D3	1.310648394599201e-297	48
sample_D2	sample_D3	3.3300936950652845e-235	48
D0	sample_D1	5.479474701606965e-29	53
D0	sample_D2	8.739969161037672e-26	53
D0	sample_D3	3.083780334750437e-06	53
sample_D1	sample_D2	2.4310594409847193e-78	53
sample_D1	sample_D3	1.2659952755305654e-50	53
sample_D2	sample_D3	2.172337541940588e-11	53
D0	sample_D1	0.0018715140352775516	45
D0	sample_D2	0.0	45
D0	sample_D3	0.0	45
sample_D1	sample_D2	1.8471430519848205e-286	45
sample_D1	sample_D3	0.0	45
sample_D2	sample_D3	6.252037152293595e-127	45
D0	sample_D1	0.036136225933934785	50
D0	sample_D2	4.368915384683522e-14	50
D0	sample_D3	0.0	50
sample_D1	sample_D2	7.498582469518929e-17	50
sample_D1	sample_D3	8.404438186213159e-279	50
sample_D2	sample_D3	1.7493757087243765e-149	50
D0	sample_D1	0.0	54
D0	sample_D2	1.835059090306895e-15	54
D0	sample_D3	0.0009000112976258615	54
sample_D1	sample_D2	0.0	54
sample_D1	sample_D3	0.0	54
sample_D2	sample_D3	1.7589688631858387e-26	54
D0	sample_D1	1.933623762289799e-06	52
D0	sample_D2	0.00324403782395841	52
D0	sample_D3	0.004135066840350358	52
sample_D1	sample_D2	0.11628574558029137	52
sample_D1	sample_D3	0.01541562239030807	52
sample_D2	sample_D3	0.5437520198034547	52
D0	sample_D1	0.003200529981478299	51
D0	sample_D2	1.9196766662382294e-11	51
D0	sample_D3	0.0	51
sample_D1	sample_D2	6.72538367498839e-17	51
sample_D1	sample_D3	0.0	51
sample_D2	sample_D3	0.0	51
D0	sample_D1	0.2863170457203651	57
D0	sample_D2	1.4828419877025215e-25	57
D0	sample_D3	0.0	57
sample_D1	sample_D2	2.376998240375024e-23	57
sample_D1	sample_D3	3.765302045904098e-201	57
sample_D2	sample_D3	0.0	57
D0	sample_D1	1.9477365765594231e-19	56
D0	sample_D2	1.3619678580694628e-06	56
D0	sample_D3	2.4400627358146207e-76	56
sample_D1	sample_D2	5.005974851151607e-33	56
sample_D1	sample_D3	1.5128422395351048e-09	56
sample_D2	sample_D3	6.096394326245492e-88	56
D0	sample_D1	1.938139856442799e-06	55
D0	sample_D2	1.9847236255673603e-71	55
D0	sample_D3	3.32042015466194e-262	55
sample_D1	sample_D2	2.993670233602739e-85	55
sample_D1	sample_D3	1.2649981455245674e-237	55
