Gene_set,Term,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,program_name,overlap_numerator,overlap_denominator
gs_ind_0,EFO_1000786,0.3516442816804437,0.513287217614196,3.544929859719439,3.7049308990680903,SMAD3,18,1,13
gs_ind_0,EFO_1001375,0.19675673151173909,0.41538378153840105,3.1506057622329724,5.1222144535070155,PHACTR1;CDKN2B,18,2,25
gs_ind_0,EFO_1001486,0.6071119898858256,0.6932950799327093,1.6080524685735107,0.8024857322421698,ETS1,18,1,28
gs_ind_0,EFO_1001494,7.093100161031686e-05,0.0017607375678980605,29.933062880324545,285.97458480000023,NFKBIZ;TNFAIP3;REL;TNIP1,18,4,8
gs_ind_0,EFO_1001512,0.25911349688668533,0.43225385194921706,5.215961334433573,7.044098935224395,DMRTA1,18,1,9
gs_ind_0,EFO_1001870,0.593757536788811,0.6867099946247591,1.6689605626347033,0.8700028220851294,SORL1,18,1,27
gs_ind_0,EFO_1002011,0.022826200972513925,0.12190787098182192,6.313498622589532,23.864054013083017,LRRC32;TSLP;SMAD3,18,3,19
gs_ind_0,GO_0006306,0.8563981989189287,0.9038371662059831,0.7237106042759753,0.11218949148079012,NSUN2;PYY;DENND6A,18,3,144
gs_ind_0,GO_0036273,0.05170025068561953,0.2102864129010592,2.854175152749491,8.454902072886709,MAFB;HHEX;CDKN2B;TRIB1;VEGFA,18,5,62
gs_ind_0,HP_0000155,0.010896796582550128,0.08218000756006555,5.717103275646282,25.837227220811293,NFKB1;IFNGR1;TICAM1;MAFB,18,4,27
gs_ind_0,HP_0000202,0.28341123082061276,0.44801251334961495,4.666279928277608,5.883508555465629,MAFB,18,1,10
gs_ind_0,HP_0000364,0.2339952943130036,0.42353148270653646,5.9122244488977955,8.58723566728477,KLF7,18,1,8
gs_ind_0,HP_0000539,0.553958434614523,0.659647872797557,1.039819004524887,0.6141853399290088,BMP2;ADD3;NRIP1;ADAMTS9;DDX5;VIPR2;RGS3;PPP4R2;TRAF1;VEGFA,18,10,307
gs_ind_0,HP_0000720,0.51989202325866,0.6379691946428303,2.058489071165587,1.3465279711602052,EPHB1,18,1,22
gs_ind_0,HP_0000964,1.155322266231403e-05,0.00045796825540666766,4.3718989035279066,49.70213441087319,FOXO1;SMAD3;NFKBIA;TSLP;ETS1;IRF1;MSX1;ZNF217;LRRC32;NFKB1;TNFAIP3;TRAF1;REL;MYC;FOSL2,18,15,124
gs_ind_0,HP_0002140,0.3516442816804437,0.513287217614196,3.544929859719439,3.7049308990680903,CDKN2B,18,1,13
gs_ind_0,HP_0002315,0.46930154702115073,0.6139083485762472,2.3932730325515896,1.8105344068555729,PHACTR1,18,1,19
gs_ind_0,HP_0003124,0.15085269830041534,0.36784312219663406,2.246970187669388,4.250034966161351,TRIB1;MAFB;ZFP91;VEGFA,18,4,63
gs_ind_0,HP_0012594,0.28341123082061276,0.44801251334961495,4.666279928277608,5.883508555465629,TRIB1,18,1,10
gs_ind_0,HP_0100537,0.486728922989194,0.6204079933876346,2.2702327732387855,1.6346764252868313,MAFB,18,1,20
gs_ind_0,HP_0100790,0.486728922989194,0.6204079933876346,2.2702327732387855,1.6346764252868313,SMAD3,18,1,20
gs_ind_0,MONDO_0000334,0.46930154702115073,0.6139083485762472,2.3932730325515896,1.8105344068555729,BMP2,18,1,19
gs_ind_0,MONDO_0002009,0.7456821241565759,0.8074941296181379,1.089957693164106,0.31985449032236224,KLF7,18,1,41
gs_ind_0,MONDO_0002278,0.08481344793899614,0.27321981914331084,5.491839928459647,13.55002305112681,SMAD3;BMP2,18,2,15
gs_ind_0,MONDO_0004867,0.07507831704747889,0.2613302958768015,5.931991951710262,15.359252862170221,NFKB1;SMAD3,18,2,14
gs_ind_0,MONDO_0004892,0.5835721151478896,0.6853083381690439,1.1002583892335014,0.5925851338048421,NRIP1;VIPR2;CD34;BMP2,18,4,124
gs_ind_0,MONDO_0004979,5.7204114108728546e-05,0.001592914562104595,4.247417004048583,41.492527143319705,IL6;SMAD3;NFKBIA;TSLP;ITGAV;ETS1;ZNF217;SBNO2;LRRC32;TRAF1;HIVEP2;MYC;MAP3K8,18,13,110
gs_ind_0,MONDO_0005129,0.13818140362833137,0.35729762938182824,4.004839849910272,7.92633072457541,CDKN2B;LRIG3,18,2,20
gs_ind_0,MONDO_0005148,0.20726507551622084,0.4160580662065497,2.2804972804972805,3.5889479814299183,HIVEP2;CDKN2B;HHEX,18,3,48
gs_ind_0,MONDO_0005271,0.0004299035409489061,0.007781254091175201,7.67051605918441,59.46145464708395,SMAD3;TSLP;ETS1;LRRC32;NFKB1;FOSL2,18,6,31
gs_ind_0,MONDO_0005277,0.6071119898858256,0.6932950799327093,1.6080524685735107,0.8024857322421698,PHACTR1,18,1,28
gs_ind_0,MONDO_0005301,0.058678968125324325,0.22597645171667452,2.112546520083843,5.990493052011506,ZFP36L1;ZFP36L2;VMP1;TNIP3;LCK;ETS1;HHEX;MYC,18,8,128
gs_ind_0,MONDO_0005405,0.14958291864683576,0.36784312219663406,3.7989475313418977,7.217637130655757,LRRC32;SMAD3,18,2,21
gs_ind_0,MONDO_0021400,0.5356642958191504,0.6463000562058102,1.9667334669338676,1.2277287014410354,SMAD3,18,1,23
