motif	stat	pval	program_name
AHRR.H12CORE.0.P.C	-0.004471936376432931	0.741329720279212	14
AHRR.H12CORE.0.P.C	-0.005435687894948638	0.6882488899867271	15
AHRR.H12CORE.0.P.C	-0.002909463381964502	0.829954865483063	16
AHRR.H12CORE.0.P.C	-0.005758737539301176	0.6707792896362118	17
AHRR.H12CORE.0.P.C	-0.005068106083879851	0.708330395481832	18
AHRR.H12CORE.0.P.C	-0.003820102000782452	0.7779604809499291	19
AHRR.H12CORE.0.P.C	-0.004346413843340095	0.7483411081808943	20
AHRR.H12CORE.0.P.C	-0.0046839098906983	0.7295382612604124	21
AHRR.H12CORE.0.P.C	-0.004306054498403854	0.7505999438451073	22
AHRR.H12CORE.0.P.C	-0.004056329910706793	0.7646234283580866	23
AHRR.H12CORE.0.P.C	-0.005802852661648599	0.6684071576551109	24
