program_name	batch_11AMDox_pearsonr_stat	batch_2PMDox1_pearsonr_stat	batch_2PMDox2_pearsonr_stat	batch_11AMDox_pearsonr_pval	batch_2PMDox1_pearsonr_pval	batch_2PMDox2_pearsonr_pval	batch_11AMDox_pearsonr_adj_pval	batch_2PMDox1_pearsonr_adj_pval	batch_2PMDox2_pearsonr_adj_pval	batch_11AMDox_pearsonr_log2FC	batch_2PMDox1_pearsonr_log2FC	batch_2PMDox2_pearsonr_log2FC
5	0.02398397391055867	-0.0025812617936580647	-0.01857787774891258	1.1446267024840212e-28	0.23195335198221018	7.708265041183933e-18	1.1446267024840212e-28	0.23195335198221018	7.708265041183933e-18	0.46179841595353316	-0.04941531097421791	-0.34649620200882386
50	0.13870922131500432	-0.000697688126130077	-0.12105177411921217	0.0	0.7466285765440586	0.0	0.0	0.7466285765440586	0.0	0.5181622083946171	-0.0025983860751105986	-0.44544009026528775
51	0.18385206482009359	0.13104974409436776	-0.28664882736284014	0.0	0.0	0.0	0.0	0.0	0.0	0.6608446800026202	0.4576185691300529	-1.1153251378302476
52	0.20308002277706633	-0.4475990907780902	0.24981227121608107	0.0	0.0	0.0	0.0	0.0	0.0	0.5409496949833448	-1.505500923764194	0.6233244045491111
53	0.10563628795846611	0.09515143279945436	-0.18368576589809194	0.0	0.0	0.0	0.0	0.0	0.0	0.3734195908849477	0.31742092082097517	-0.6377480355923684
54	0.11589249359669554	-0.08967786364890513	-0.015942400742347144	0.0	0.0	1.5460528704596147e-13	0.0	0.0	1.5460528704596147e-13	0.6088718696732954	-0.5084181355797452	-0.08125197992235926
55	-0.42160087786845046	-0.2584162535548546	0.6170705732488596	0.0	0.0	0.0	0.0	0.0	0.0	-1.2418327264627278	-0.5921368261899491	1.2359487383208938
56	-0.14929594585703648	0.7124110521421534	-0.5502352703832387	0.0	0.0	0.0	0.0	0.0	0.0	-0.5585519257375379	2.041494335292539	-2.104095054846094
57	0.2003447298545414	-0.15887525072818906	-0.02388010125755206	0.0	0.0	1.9596126767496938e-28	0.0	0.0	1.9596126767496938e-28	0.5860025260559415	-0.4992119726614308	-0.06748599386364715
58	0.06364810725674525	-0.537781459530837	0.4584024143232548	2.5343332123362972e-191	0.0	0.0	2.5343332123362972e-191	0.0	0.0	0.1709919373795188	-1.8316467451407328	1.095232602611948
59	0.26531081122404715	-0.26821969867205453	0.023672213329810884	0.0	0.0	5.70826343995418e-28	0.0	0.0	5.70826343995418e-28	0.5916332767832326	-0.6585303961969524	0.050692941885832246
6	0.0146885312687161	-0.0012311854270397869	-0.011712032394145668	1.029003453859234e-11	0.5685813218871968	5.833303552667424e-08	1.029003453859234e-11	0.5685813218871968	5.833303552667424e-08	0.4313307400335926	-0.03572628221227713	-0.33122577479297627
60	0.5818688811126317	-0.23749604405304964	-0.2834906821679265	0.0	0.0	0.0	0.0	0.0	0.0	2.558836262672301	-1.5029544818453096	-1.6275954917866133
7	-0.1607583650999561	-0.1337151858893221	0.26893267272886484	0.0	0.0	0.0	0.0	0.0	0.0	-0.7293981767438005	-0.5192813725727355	0.9147427312476636
8	0.09068525633507096	0.0020012485404565517	-0.08149105407404808	0.0	0.35405817966800746	1.133896121085e-312	0.0	0.35405817966800746	1.133896121085e-312	0.500320181603738	0.010962207281877738	-0.4415802586819256
9	-0.16930442482468183	0.6493423930256347	-0.47236809571393823	0.0	0.0	0.0	0.0	0.0	0.0	-0.8236665718798246	2.3278308100437033	-2.303161612535394
